class,term,week,subject,topic,agegroup
Year 5,Calvary Term,4,Basic Science,"Energy conversion: concept of energy conversion, forms and importance",9-10
Year 5,Calvary Term,5,Basic Science,"Basic electricity: types, method of generating electricity, uses, conductor and non-conductors",9-10
Year 5,Calvary Term,6,Basic Science,"Friction: meaning, effects of friction, frictional force, advantages and disadvantages of frictional force",9-10
Year 5,Calvary Term,7,Basic Science,"Reproduction in male: meaning, purposes and reproductive organs",9-10
Year 5,Calvary Term,8,Basic Science,"Reproduction in female: meaning, purposes and reproductive organs",9-10
Year 5,Calvary Term,9,Basic Science,"Workshop safety: meaning of safety, rules that guides work shop",9-10
Year 1,Calvary Term,1,Cultural and Creative Arts,"Drawing and painting: definition, drawing of craft work, drawing of things around us",5-6
Year 1,Calvary Term,2,Cultural and Creative Arts,"Printing ( leaf , yam, potatoes)",5-6
Year 1,Calvary Term,3,Cultural and Creative Arts,Valentine's day decorations ( meaning of valentine day),5-6
Year 1,Calvary Term,4,Cultural and Creative Arts,Mother's day decorations (meaning of mother's day),5-6
Year 1,Calvary Term,5,Cultural and Creative Arts,"Collage( meaning, using different color paper( shapes)",5-6
Year 1,Calvary Term,6,Cultural and Creative Arts,Easter decorations ( meaning of Easter celebration),5-6
Year 1,Calvary Term,7,Cultural and Creative Arts,"Traditional song/folk song( introduction to Nigeria folksongs, uses and functions of Nigerian traditional music: joy relaxation e.t.c",5-6
Year 1,Calvary Term,8,Cultural and Creative Arts,"Traditional dance( meaning, functions, types)",5-6
Year 1,Calvary Term,9,Cultural and Creative Arts,Beads decorations ( practical),5-6
Year 2,Calvary Term,1,Cultural and Creative Arts,"Modelling ( meaning, media for modelling, importance)",6-7
Year 2,Calvary Term,2,Cultural and Creative Arts,Imaginative composition ( meaning and types of imaginative composition),6-7
Year 2,Calvary Term,3,Cultural and Creative Arts,"Melodic pattern of music ( meaning of music, singing in a scale of natural keys)",6-7
Year 2,Calvary Term,4,Cultural and Creative Arts,Valentine card/activities ( meaning of valentine),6-7
Year 2,Calvary Term,5,Cultural and Creative Arts,Making of mother's day cards,6-7
Year 2,Calvary Term,6,Cultural and Creative Arts,Fabric design and decorations,6-7
Year 2,Calvary Term,7,Cultural and Creative Arts,Drama( creating a drama from a storybook),6-7
Year 2,Calvary Term,8,Cultural and Creative Arts,Easter activities ( meaning of Easter and making of Easter card),6-7
Year 2,Calvary Term,9,Cultural and Creative Arts,Towns where art are being practiced,6-7
Year 3,Calvary Term,1,Cultural and Creative Arts,"Colour: meaning, primary and secondary colors, uses of color, colour wheel on primary colour)",7-8
Year 3,Calvary Term,2,Cultural and Creative Arts,"Modelling: definition, media for modelling and uses",7-8
Year 3,Calvary Term,3,Cultural and Creative Arts,"Drawing: meaning, shading, importance",7-8
Year 3,Calvary Term,4,Cultural and Creative Arts,"Card making and activities: valentine card, Easter card and decorations",7-8
Year 3,Calvary Term,5,Cultural and Creative Arts,Traditional dance in Nigeria ( examples of some traditional dance in Nigeria),7-8
Year 3,Calvary Term,6,Cultural and Creative Arts,"Texture in arts ( meaning of texture in arts, types of texture, uses of texture)",7-8
Year 3,Calvary Term,7,Cultural and Creative Arts,"Local instruments (meaning, classification of local instruments e.g idiophones, membranophone, chordophones e.t.c",7-8
Year 3,Calvary Term,8,Cultural and Creative Arts,"Fabric decorations ( meaning of fabric, concept of making adire, materials needed, production of adire)",7-8
Year 3,Calvary Term,9,Cultural and Creative Arts,"Drama practical ( meaning of drama, introduction to staging play, drama on good behavior)",7-8
Year 4,Calvary Term,1,Cultural and Creative Arts,"Mosaic: meaning, materials and production of mosaic",8-9
Year 4,Calvary Term,2,Cultural and Creative Arts,Musical notes and symbols: meaning and symbols,8-9
Year 4,Calvary Term,3,Cultural and Creative Arts,"Wood carving: wood carving and painting, method of wood carving, materials for wood carving",8-9
Year 4,Calvary Term,4,Cultural and Creative Arts,"Calabash decorations: introduction to calabash decorations, uses and the concept behind calabash decorations",8-9
Year 4,Calvary Term,5,Cultural and Creative Arts,Valentine card decorations- activities for mother's day -- card/gift decorations,8-9
Year 4,Calvary Term,6,Cultural and Creative Arts,Fabric design -- batik (waxing),8-9
Year 4,Calvary Term,7,Cultural and Creative Arts,"Drawing -- meaning of drawing, head and face, drawing of items",8-9
Year 4,Calvary Term,8,Cultural and Creative Arts,"Collage: drawing and shading of paper, posting of papers on drawing",8-9
Year 4,Calvary Term,9,Cultural and Creative Arts,Easter activities: card making,8-9
Year 5,Calvary Term,1,Cultural and Creative Arts,"Imaginative composition: meaning and concept of imaginative composition, uses",9-10
Year 5,Calvary Term,2,Cultural and Creative Arts,"Imaginative drawing: definition, materials, processes",9-10
Year 5,Calvary Term,3,Cultural and Creative Arts,"Imaginative drawing: definition, materials and procedure",9-10
Year 5,Calvary Term,4,Cultural and Creative Arts,"Perspective: meaning, types and importance",9-10
Year 5,Calvary Term,5,Cultural and Creative Arts,Valentine: card/decorations,9-10
Year 5,Calvary Term,6,Cultural and Creative Arts,Painting -- still life,9-10
Year 5,Calvary Term,7,Cultural and Creative Arts,"Light and shape: meaning, how light reflects on object to show light and shadow",9-10
Year 5,Calvary Term,8,Cultural and Creative Arts,"Components of dance e.g movements, time, space, expressions, music e.t.c",9-10
Year 5,Calvary Term,9,Cultural and Creative Arts,Easter activities: card making,9-10
Year 1,Calvary Term,1,Yoruba,Onka yoruba: ookanla de Ogun (11-20),5-6
Year 1,Calvary Term,2,Yoruba,Sise nnkan,5-6
Year 1,Calvary Term,3,Yoruba,Dida awon nnkan Inu kilassi mo ati ayika,5-6
Year 1,Calvary Term,4,Yoruba,Ojo Inu ose,5-6
Year 1,Calvary Term,5,Yoruba,Faweli akosori ( a e e i o o u),5-6
Year 1,Calvary Term,6,Yoruba,Fifi faweli akosori pinle oro,5-6
Year 1,Calvary Term,7,Yoruba,Yiya aworan awon oro ti a fi faweli akosori pinle,5-6
Year 1,Calvary Term,8,Yoruba,Akosori : ise agbe,5-6
Year 1,Calvary Term,9,Yoruba,Orin: iya ni wura,5-6
Year 2,Calvary Term,1,Yoruba,Kika silebu yoruba,6-7
Year 2,Calvary Term,2,Yoruba,Kiko silebu yoruba,6-7
Year 2,Calvary Term,3,Yoruba,Asiko/akoko to wa laarin ojo,6-7
Year 2,Calvary Term,4,Yoruba,Asa Ile yoruba,6-7
Year 2,Calvary Term,5,Yoruba,Owe keekeeke,6-7
Year 2,Calvary Term,6,Yoruba,Ewi: ise login ise,6-7
Year 2,Calvary Term,7,Yoruba,Oro ati idakeji,6-7
Year 2,Calvary Term,8,Yoruba,Ihun gbolohun -- Oro oruko,6-7
Year 2,Calvary Term,9,Yoruba,Ise sise lori oro oruko,6-7
Year 3,Calvary Term,1,Yoruba,"Oge sise: ( itoju ara, ohun elo itoju ara)",7-8
Year 3,Calvary Term,2,Yoruba,Ojuse obi si omo,7-8
Year 3,Calvary Term,3,Yoruba,Asa bi a se n jeun ( ofin ti oro mo ounje jije),7-8
Year 3,Calvary Term,4,Yoruba,Alo apamo,7-8
Year 3,Calvary Term,5,Yoruba,Ikini fun oniruru ayeye ati idahun,7-8
Year 3,Calvary Term,6,Yoruba,Ipolowo oja,7-8
Year 3,Calvary Term,7,Yoruba,Asa: igbalejo ni Ile yoruba,7-8
Year 3,Calvary Term,8,Yoruba,Orin omode: ako mo ni wa,7-8
Year 3,Calvary Term,9,Yoruba,Ihun gbolohun: Oro ise ati ise sise lori oro ise,7-8
Year 4,Calvary Term,1,Yoruba,Pontueson,8-9
Year 4,Calvary Term,2,Yoruba,Ere: onitan,8-9
Year 4,Calvary Term,3,Yoruba,Alo apagbe,8-9
Year 4,Calvary Term,4,Yoruba,Awon owe Ile yoruba ati itumo won,8-9
Year 4,Calvary Term,5,Yoruba,Alo onitan to ko lorin,8-9
Year 4,Calvary Term,6,Yoruba,Aso wiwo ni Ile yoruba,8-9
Year 4,Calvary Term,7,Yoruba,Oge sise ni aye atijo ati ode oni ni Ile yoruba,8-9
Year 4,Calvary Term,8,Yoruba,Iwa rere ati iwa buruku,8-9
Year 4,Calvary Term,9,Yoruba,Asiko Ogun,8-9
Year 5,Calvary Term,1,Yoruba,Awon ohun elo igbeyawo,9-10
Year 5,Calvary Term,2,Yoruba,Awon oba alaye Ile yoruba,9-10
Year 5,Calvary Term,3,Yoruba,Ounje: ifipanu ati ohun mimu,9-10
Year 5,Calvary Term,4,Yoruba,Awon oba ibara -- eni -- soro ibile ati ode oni,9-10
Year 5,Calvary Term,5,Yoruba,Gbolohun alakanpo,9-10
Year 5,Calvary Term,6,Yoruba,Ikini: onise owo,9-10
Year 5,Calvary Term,7,Yoruba,Ohun elo ise / irinse,9-10
Year 5,Calvary Term,8,Yoruba,Eje orile - ede Naijiria,9-10
Year 5,Calvary Term,9,Yoruba,Kika iwe itan aroso keekeeke,9-10
Year 1,Calvary Term,1,History,Neighborhood: my neighbor at home and at school,5-6
Year 1,Calvary Term,2,History,"Important places in the community: school, market and at school",5-6
Year 1,Calvary Term,3,History,"Community leaders: meaning, roles and respect for community leaders",5-6
Year 1,Calvary Term,4,History,"National symbols: coat of arms, national flag and national pledge",5-6
Year 1,Calvary Term,5,History,First election in Nigeria,5-6
Year 1,Calvary Term,6,History,Christian missionaries in Nigeria,5-6
Year 1,Calvary Term,7,History,Slave trade in Nigeria,5-6
Year 1,Calvary Term,8,History,Bishop Samuel Ajayi Crowther,5-6
Year 1,Calvary Term,9,History,"Mother Teresa, David Livingstone",5-6
Year 2,Calvary Term,1,History,Ethnic group in Nigeria: meaning and types,6-7
Year 2,Calvary Term,2,History,"History of the Yoruba's : their origin, story of oduduwa, afonja of Ilorin, Alafin of Oyo, Oni of Ife",6-7
Year 2,Calvary Term,3,History,The history of the Hausa's: their origin and spread,6-7
Year 2,Calvary Term,4,History,History of Igbo's: their origin and spread,6-7
Year 2,Calvary Term,5,History,Comparison of the three major ethnic group,6-7
Year 2,Calvary Term,6,History,"Martin Luther king, Obafemi Awolowo",6-7
Year 2,Calvary Term,7,History,"Fela Anikulapo Ransomkuti, Nnamdi Azikwe",6-7
Year 2,Calvary Term,8,History,"Shaka Zulu, Alexander the great",6-7
Year 2,Calvary Term,9,History,"Chief Anthony Enahoro, Queen Elizabeth II",6-7
Year 3,Calvary Term,1,History,"Early history of west African country -- history of Ghana, Senegal and Liberia",7-8
Year 3,Calvary Term,2,History,British rule in Nigeria,7-8
Year 3,Calvary Term,3,History,Nigeria first republic,7-8
Year 3,Calvary Term,4,History,Nigeria decolonization and independence,7-8
Year 3,Calvary Term,5,History,Nigeria monument,7-8
Year 3,Calvary Term,6,History,"Nigeria tourist sites -- Olumo rock, Ikogosi spring",7-8
Year 3,Calvary Term,7,History,"Nigeria early heroes and heroines -- sir Ahmadu Bello, King Jaja of Opobo",7-8
Year 3,Calvary Term,8,History,"Nigeria early heroes and heroines -- Nnamdi Azikwe, Nana Olumo of Itsekiri",7-8
Year 3,Calvary Term,9,History,History of Ogbomoso land / Excursion to Soun palace,7-8
Year 4,Calvary Term,1,History,Method of trading in the past and now,8-9
Year 4,Calvary Term,2,History,"Traditional way of farming: use of local tools, crop grown and pest control",8-9
Year 4,Calvary Term,3,History,Modern method of farming: use of modern machines and chemicals,8-9
Year 4,Calvary Term,4,History,Distribution of agricultural products within Nigeria,8-9
Year 4,Calvary Term,5,History,Wole Soyinka,8-9
Year 4,Calvary Term,6,History,Chimamanda Adichie,8-9
Year 4,Calvary Term,7,History,Chinua Achebe,8-9
Year 4,Calvary Term,8,History,"Some Nigeria people: the Nupe, the Oworo",8-9
Year 4,Calvary Term,9,History,"Some Nigeria people: the Kanuri, the Yakor",8-9
Year 5,Calvary Term,1,History,The discovery of electricity and railway engine,9-10
Year 5,Calvary Term,2,History,The discovery of malaria and invention of vaccination,9-10
Year 5,Calvary Term,3,History,"The invention of television, airplane and the printing press",9-10
Year 5,Calvary Term,4,History,Traditional religion in Nigeria: meaning and types,9-10
Year 5,Calvary Term,5,History,"Islamic religion: origin of Islam, agent of Islam and dominate areas of Islam",9-10
Year 5,Calvary Term,6,History,"Christianity in Nigeria: origin of Christianity in Nigeria, dominate areas of Christianity, early Christian missionaries and their roles",9-10
Year 5,Calvary Term,7,History,Civil war in Africa,9-10
Year 5,Calvary Term,8,History,Military rule: period of military rule in Nigeria,9-10
Year 5,Calvary Term,9,History,"Military heads of states in Nigeria: Aguyi Ironsi, Yakubu Gowon, Muritala Mohammed, Olusegun Obasanjo e.t.c",9-10
Year 1,Calvary Term,1,Moral Instructions,Fairness,5-6
Year 1,Calvary Term,2,Moral Instructions,Hard work,5-6
Year 1,Calvary Term,3,Moral Instructions,Tolerance,5-6
Year 1,Calvary Term,4,Moral Instructions,Cooperation,5-6
Year 1,Calvary Term,5,Moral Instructions,Love,5-6
Year 1,Calvary Term,6,Moral Instructions,Endurance,5-6
Year 1,Calvary Term,7,Moral Instructions,Self -- discipline,5-6
Year 1,Calvary Term,8,Moral Instructions,Adaptability,5-6
Year 1,Calvary Term,9,Moral Instructions,Giving,5-6
Year 2,Calvary Term,1,Moral Instructions,Patriotism,6-7
Year 2,Calvary Term,2,Moral Instructions,Addiction,6-7
Year 2,Calvary Term,3,Moral Instructions,Self reliance,6-7
Year 2,Calvary Term,4,Moral Instructions,Self control,6-7
Year 2,Calvary Term,5,Moral Instructions,Conflict management,6-7
Year 2,Calvary Term,6,Moral Instructions,Decency in dressing,6-7
Year 2,Calvary Term,7,Moral Instructions,Decency in speaking,6-7
Year 2,Calvary Term,8,Moral Instructions,Problems solving skills,6-7
Year 2,Calvary Term,9,Moral Instructions,Etiquette,6-7
Year 3,Calvary Term,1,Moral Instructions,Perseverance,7-8
Year 3,Calvary Term,2,Moral Instructions,Self esteem,7-8
Year 3,Calvary Term,3,Moral Instructions,Favoritism,7-8
Year 3,Calvary Term,4,Moral Instructions,Confidence,7-8
Year 3,Calvary Term,5,Moral Instructions,Cheerfulness,7-8
Year 3,Calvary Term,6,Moral Instructions,Obedience,7-8
Year 3,Calvary Term,7,Moral Instructions,Courtesy,7-8
Year 3,Calvary Term,8,Moral Instructions,Respect for elders,7-8
Year 3,Calvary Term,9,Moral Instructions,Positive thinking,7-8
Year 4,Calvary Term,1,Moral Instructions,Tolerance,8-9
Year 4,Calvary Term,2,Moral Instructions,Peer pressure,8-9
Year 4,Calvary Term,3,Moral Instructions,Good communication,8-9
Year 4,Calvary Term,4,Moral Instructions,Love,8-9
Year 4,Calvary Term,5,Moral Instructions,Team -- work,8-9
Year 4,Calvary Term,6,Moral Instructions,Discipline,8-9
Year 4,Calvary Term,7,Moral Instructions,Respect,8-9
Year 4,Calvary Term,8,Moral Instructions,Orderliness,8-9
Year 4,Calvary Term,9,Moral Instructions,Cooperation,8-9
Year 5,Calvary Term,1,Moral Instructions,Time management,9-10
Year 5,Calvary Term,2,Moral Instructions,Chastity,9-10
Year 5,Calvary Term,3,Moral Instructions,Addiction,9-10
Year 5,Calvary Term,4,Moral Instructions,Emotional balance,9-10
Year 5,Calvary Term,5,Moral Instructions,Patriotism,9-10
Year 5,Calvary Term,6,Moral Instructions,Examination malpractices,9-10
Year 5,Calvary Term,7,Moral Instructions,Handling disappointment,9-10
Year 5,Calvary Term,8,Moral Instructions,Humility,9-10
Year 5,Calvary Term,9,Moral Instructions,Purposeful living,9-10
Year 1,Calvary Term,1,Citizenship,The community: meaning and types of community,5-6
Year 1,Calvary Term,2,Citizenship,"Cooperation in the community: working together, respect for one another, importance of cooperation in the community",5-6
Year 1,Calvary Term,3,Citizenship,"Community rules: meaning, list of community rules",5-6
Year 1,Calvary Term,4,Citizenship,The roles of community members,5-6
Year 1,Calvary Term,5,Citizenship,"Leadership: meaning, types of leaders",5-6
Year 1,Calvary Term,6,Citizenship,"Neighbors at home, school and community",5-6
Year 1,Calvary Term,7,Citizenship,National symbols,5-6
Year 1,Calvary Term,8,Citizenship,"Social amenities: meaning, examples and functions",5-6
Year 1,Calvary Term,9,Citizenship,Personal security: meaning and measures,5-6
Year 2,Calvary Term,1,Citizenship,"National symbols: meaning, examples of national symbols",6-7
Year 2,Calvary Term,2,Citizenship,"How to respect national symbols: respect for our currency, respect for the national anthem and pledge",6-7
Year 2,Calvary Term,3,Citizenship,Respect for elders in the society,6-7
Year 2,Calvary Term,4,Citizenship,"Constituted authority: meaning, examples and functions",6-7
Year 2,Calvary Term,5,Citizenship,Buying and selling in the community: market days,6-7
Year 2,Calvary Term,6,Citizenship,Traditional leaders in our community and their roles,6-7
Year 2,Calvary Term,7,Citizenship,Foreigner in our community,6-7
Year 2,Calvary Term,8,Citizenship,GRA (Government Reserved Areas) : meaning and functions,6-7
Year 3,Calvary Term,1,Citizenship,"Law and court: meaning of law and court, branches of law practiced in the court, courts in Nigeria, highest court in Nigeria, roles of law in our society",7-8
Year 3,Calvary Term,2,Citizenship,"Security education: meaning of security, security education, reasons for security education",7-8
Year 3,Calvary Term,3,Citizenship,"Security agencies in Nigeria: meaning, examples and functions",7-8
Year 3,Calvary Term,4,Citizenship,"Criminal behavior: concept of criminal behavior, causes, categories of crime, preventive measures against crime",7-8
Year 3,Calvary Term,5,Citizenship,"Violence: meaning, effects, examples, prevention",7-8
Year 3,Calvary Term,6,Citizenship,"Unity: meaning of unity, concept of national unity, importance of national unity",7-8
Year 3,Calvary Term,7,Citizenship,"Factors that promotes unity among people e.g sports, cultural activities",7-8
Year 3,Calvary Term,8,Citizenship,"UN: meaning, specific objectives, functions and countries in the united nations",7-8
Year 3,Calvary Term,9,Citizenship,"The rule of law in Nigeria: meaning, importance, Nigeria constitution",7-8
Year 4,Calvary Term,1,Citizenship,"Human resources development: meaning, types of work people do, why people work, problems of getting a job, building of work skills and ethics",8-9
Year 4,Calvary Term,2,Citizenship,"Good leadership: meaning of leadership, benefits of good leadership in the society",8-9
Year 4,Calvary Term,3,Citizenship,"Bad leadership: meaning, effects of bad leadership",8-9
Year 4,Calvary Term,4,Citizenship,"Arms of government: meaning, division, functions",8-9
Year 4,Calvary Term,5,Citizenship,Executive and legislative arms of government: members and functions,8-9
Year 4,Calvary Term,6,Citizenship,"Trade unions: meaning, examples and functions",8-9
Year 4,Calvary Term,7,Citizenship,"Political parties in Nigeria -- aims and objectives, examples, functions",8-9
Year 4,Calvary Term,8,Citizenship,"Campaigns: meaning, procedure and importance",8-9
Year 4,Calvary Term,9,Citizenship,"Division of labour : meaning, types and effects",8-9
Year 5,Calvary Term,1,Citizenship,"Tourism: meaning, importance and tourist sites in Nigeria",9-10
Year 5,Calvary Term,2,Citizenship,Tourist sites in Africa,9-10
Year 5,Calvary Term,3,Citizenship,Community leadership: meaning and importance,9-10
Year 5,Calvary Term,4,Citizenship,"Employment: meaning, types of employment, concept of wages and salary, benefits of job availability, importance of employment",9-10
Year 5,Calvary Term,5,Citizenship,"Unemployment: meaning, effects on national development, solutions",9-10
Year 5,Calvary Term,6,Citizenship,"Immigration: meaning, effects and benefits",9-10
Year 5,Calvary Term,7,Citizenship,"Emigration: meaning, effects and benefits",9-10
Year 5,Calvary Term,8,Citizenship,"Tolerance as a national values: meaning, importance",9-10
Year 5,Calvary Term,9,Citizenship,"Citizenship and naturalization: meaning of citizenship and naturalization, means of acquiring citizenship, differences between dual and multiple citizenship",9-10
Year 1,Calvary Term,1,Literacy,Present tense and past tense,5-6
Year 1,Calvary Term,2,Literacy,Future tense,5-6
Year 1,Calvary Term,3,Literacy,Use of capital letters,5-6
Year 1,Calvary Term,4,Literacy,"Verbs -- meaning , examples",5-6
Year 1,Calvary Term,5,Literacy,"Preposition -- meaning , examples and uses",5-6
Year 1,Calvary Term,6,Literacy,"Using the possessive pronouns -- I, your, our",5-6
Year 1,Calvary Term,7,Literacy,Compound words,5-6
Year 1,Calvary Term,8,Literacy,Conjugating verbs,5-6
Year 1,Calvary Term,9,Literacy,The use of abbreviation,5-6
Year 2,Calvary Term,1,Literacy,Regular past tense,6-7
Year 2,Calvary Term,2,Literacy,Irregular past tense,6-7
Year 2,Calvary Term,3,Literacy,Past continuous tense,6-7
Year 2,Calvary Term,4,Literacy,"Punctuation marks: question marks, exclamation mark",6-7
Year 2,Calvary Term,5,Literacy,"Punctuation marks: Apostrophe ( meaning, use)",6-7
Year 2,Calvary Term,6,Literacy,"Homophones -- meaning , use of homophones as guide to right pronunciation",6-7
Year 2,Calvary Term,7,Literacy,Conjunction,6-7
Year 2,Calvary Term,8,Literacy,Contractions and expansion of words ( formation and examples),6-7
Year 2,Calvary Term,9,Literacy,Using a dictionary,6-7
Year 3,Calvary Term,1,Literacy,Parts of speech -- nouns ( meaning and all types of noun with examples),7-8
Year 3,Calvary Term,2,Literacy,"Parts of speech -- adjectives ( meaning, examples and uses)",7-8
Year 3,Calvary Term,3,Literacy,"Parts of speech -- verbs ( meaning, examples and uses)",7-8
Year 3,Calvary Term,4,Literacy,"Parts of speech -- pronouns ( meaning, examples and uses)",7-8
Year 3,Calvary Term,5,Literacy,Subject -- verb agreement,7-8
Year 3,Calvary Term,6,Literacy,Using adverb of comparison,7-8
Year 3,Calvary Term,7,Literacy,Prefixes and suffixes,7-8
Year 3,Calvary Term,8,Literacy,Introduction to letter writing -- meaning and types of letters,7-8
Year 3,Calvary Term,9,Literacy,"Building a dictionary skills -- meaning of dictionary, uses of a dictionary, how to use a dictionary",7-8
Year 4,Calvary Term,1,Literacy,Present perfect tense -- use of have and has,8-9
Year 4,Calvary Term,2,Literacy,"Past perfect tense -- meaning , uses",8-9
Year 4,Calvary Term,3,Literacy,Punctuation and capitalization -- correct usage of punctuation marks and capital letters,8-9
Year 4,Calvary Term,4,Literacy,Apostrophe- meaning and uses,8-9
Year 4,Calvary Term,5,Literacy,Prefixes and suffixes,8-9
Year 4,Calvary Term,6,Literacy,Synonyms and antonyms,8-9
Year 4,Calvary Term,7,Literacy,Introduction to stress and intonation,8-9
Year 4,Calvary Term,8,Literacy,"Preposition- preposition of time, use of 'for' and 'since'",8-9
Year 4,Calvary Term,9,Literacy,Auxiliary verbs,8-9
Year 5,Calvary Term,1,Literacy,Complex sentences,9-10
Year 5,Calvary Term,2,Literacy,Phrasal verbs,9-10
Year 5,Calvary Term,3,Literacy,"Pronouns- meaning, types and examples",9-10
Year 5,Calvary Term,4,Literacy,Noun phrase,9-10
Year 5,Calvary Term,5,Literacy,Expressing consequences or cause and effect with the use of 'so that',9-10
Year 5,Calvary Term,6,Literacy,Letter writing,9-10
Year 5,Calvary Term,7,Literacy,"Developing poetic skills -- creating rhyming words, writing poem with rhyming words",9-10
Year 5,Calvary Term,8,Literacy,Sentence building,9-10
Year 5,Calvary Term,9,Literacy,Contracting sentences,9-10
Year 1,Calvary Term,1,Home Economics,Keeping healthy environment,5-6
Year 1,Calvary Term,2,Home Economics,"Obesity: meaning, identification and how to avoid obesity",5-6
Year 1,Calvary Term,3,Home Economics,"Foot wears: meaning, importance and maintenance",5-6
Year 1,Calvary Term,4,Home Economics,"Eating habits: meaning, importance, how to have a good eating habits",5-6
Year 1,Calvary Term,5,Home Economics,"Foods: classification based on the time of the day: meaning, importance and examples",5-6
Year 1,Calvary Term,6,Home Economics,"Kitchen etiquette: meaning, do's and don't in the kitchen and importance",5-6
Year 1,Calvary Term,7,Home Economics,"Cleaning: meaning, procedures for cleaning dishes before and after use and importance",5-6
Year 1,Calvary Term,8,Home Economics,"Home garden: meaning, importance and how to keep home garden",5-6
Year 1,Calvary Term,9,Home Economics,Practical: showing going eating habits during breakfast,5-6
Year 2,Calvary Term,1,Home Economics,"Fabrics: meaning, types and identification of fabrics",6-7
Year 2,Calvary Term,2,Home Economics,"Building positive image in relations to dressing: meaning of image, dressing as important element of positive image",6-7
Year 2,Calvary Term,3,Home Economics,"Posture: meaning, types, importance, classification of posture and effects",6-7
Year 2,Calvary Term,4,Home Economics,"Home accidents: meaning, types, how to avoid home accidents",6-7
Year 2,Calvary Term,5,Home Economics,"Fashion: meaning, importance and how to manage good fashion",6-7
Year 2,Calvary Term,6,Home Economics,Nutrition: meaning and importance,6-7
Year 2,Calvary Term,7,Home Economics,Clothing: clothes for different weather conditions,6-7
Year 2,Calvary Term,8,Home Economics,"Simple snacks ( puff-puff) : meaning, process of preparation",6-7
Year 2,Calvary Term,9,Home Economics,Practical : snacks ( puff-puff),6-7
Year 3,Calvary Term,1,Home Economics,Wants and needs: meaning and differences,7-8
Year 3,Calvary Term,2,Home Economics,"Financial management: meaning, money matter ( money and where it comes from) importance",7-8
Year 3,Calvary Term,3,Home Economics,Budgeting and making choices : meaning and importance,7-8
Year 3,Calvary Term,4,Home Economics,Savings: meaning and importance,7-8
Year 3,Calvary Term,5,Home Economics,"The food menu: meaning, uses and importance",7-8
Year 3,Calvary Term,6,Home Economics,The art of cooking at home: principles that guides cooking a proper meal at home,7-8
Year 3,Calvary Term,7,Home Economics,"Personal clothing: Meaning, types and care of personal clothing",7-8
Year 3,Calvary Term,8,Home Economics,"Clothes arrangements: sorting according to ( size, uses and occasions), sorting according to ( colors, texture and fabrics)",7-8
Year 3,Calvary Term,9,Home Economics,Practical -- Acts of mending -- using needle and thread,7-8
Year 4,Calvary Term,1,Home Economics,Food guide pyramid: meaning and importance,8-9
Year 4,Calvary Term,2,Home Economics,Food groups and sources: functions of food groups,8-9
Year 4,Calvary Term,3,Home Economics,"Snacks: meaning, examples, types and preparation",8-9
Year 4,Calvary Term,4,Home Economics,"Stitches: meaning, types and tools used in stitching",8-9
Year 4,Calvary Term,5,Home Economics,"Food service: meaning, food entertainment and food hygiene, types of food servicing, principles in food service",8-9
Year 4,Calvary Term,6,Home Economics,"Food labelling: meaning, importance and agencies that regulate food labelling",8-9
Year 4,Calvary Term,7,Home Economics,"Gender studies: meaning, understanding of gender differences in the society",8-9
Year 4,Calvary Term,8,Home Economics,Home management,8-9
Year 4,Calvary Term,9,Home Economics,Practical: snacks,8-9
Year 5,Calvary Term,1,Home Economics,"Food preservation and packaging: meaning, importance and ways",9-10
Year 5,Calvary Term,2,Home Economics,"Entertainment: meaning, importance and how to entertain people",9-10
Year 5,Calvary Term,3,Home Economics,Family relationships and family tree,9-10
Year 5,Calvary Term,4,Home Economics,"Sewing machine: meaning, parts and their uses",9-10
Year 5,Calvary Term,5,Home Economics,"Food safety: meaning, reasons for food safety, dangerous of poor food safety",9-10
Year 5,Calvary Term,6,Home Economics,"Food contamination: meaning and importance, diseases/illness caused by food contamination",9-10
Year 5,Calvary Term,7,Home Economics,Healthy living: meaning and importance,9-10
Year 5,Calvary Term,8,Home Economics,"Special dishes: meaning, examples, types and importance ( continental dishes)",9-10
Year 5,Calvary Term,9,Home Economics,Practical (continental dishes),9-10
Year 1,Calvary Term,1,Computer Studies,"Printer: meaning, types and uses",5-6
Year 1,Calvary Term,2,Computer Studies,"ICT : meaning, ICT devices around us",5-6
Year 1,Calvary Term,3,Computer Studies,ICT: how ICT shapes our lives/importance of ICT,5-6
Year 1,Calvary Term,4,Computer Studies,ICT: introducing robots as a mode in ICT devices,5-6
Year 1,Calvary Term,5,Computer Studies,"GSM phone: meaning, parts and understanding what a SIM card does for mobile phone",5-6
Year 1,Calvary Term,6,Computer Studies,GSM phone: uses of GSM phones,5-6
Year 1,Calvary Term,7,Computer Studies,"Mobile network operators: meaning, mobile network operators within and around",5-6
Year 1,Calvary Term,8,Computer Studies,Mobile network operators: the work of mobile network operators,5-6
Year 1,Calvary Term,9,Computer Studies,Computer etiquette,5-6
Year 2,Calvary Term,1,Computer Studies,"Introduction to computers: learning how to turn the computer on and off, introduction to desktop, icons and their functions",6-7
Year 2,Calvary Term,2,Computer Studies,"Basic computer skills: using the mouse ( clicking and dragging), typing simple words and sentences using the keyboard, understanding the functions of the enter and space bar keys",6-7
Year 2,Calvary Term,3,Computer Studies,"Computer network: meaning, types and importance",6-7
