class,term,week,subject,topic,agegroup
Year 3,1st Term,6,Christian Religious Knowledge,We are children of one Father (a) The fatherhood of God ( John 1:12; 3:16) (b) The brotherhood of man ( Matthew 5:21-24) (c) The significance of being in Christ ( John 13:34-35),7-8
Year 3,1st Term,7,Christian Religious Knowledge,"The prophecy of the coming of our savior (a) The promise of the savior ( Matthew 1:23, Isaiah 7:14; 9:6-7,11:1-5) (b) The announcement of the coming of the Lord (Isaiah 9:6, Micah 5:2-4)",7-8
Year 3,1st Term,8,Christian Religious Knowledge,"The birth of Christ ( Luke 2:1-16, Matthew 2:1-15) (a) Significance of the savior ( Matthew 1:21, John 3:16-17; 10:10) (b) The type of savior the Jews were expecting (Acts1:6, John 18:36)",7-8
Year 3,1st Term,9,Christian Religious Knowledge,"The coming of the Holy spirit (Acts 2:1-14, Mark 16:17) (a) The work of the Holy spirit on the apostles -- Boldness, Power, Healing, Comfort, Protection, Deliverance and Teaching (b) The works of the Holy spirit ( John 14:12;16:12-14) (c) The promise of the comforter (Acts 1:8,John 14:16)",7-8
Year 4,1st Term,1,Christian Religious Knowledge,"God is our father, we are children of one father who takes care of us, The fatherhood of God and brotherhood of Man (Matthew 6:25-34 Exodus 16:4-5) (a) Significance of being in Christ: Attitude of one father (b) How He communicate to us as children and importance of living in peace",8-9
Year 4,1st Term,2,Christian Religious Knowledge,"God speaks to us ( Exodus 33:11, Gen 28:10-17) (a) When God speaks (b) How to hear God when he speaks (c) Importance of when God speaks",8-9
Year 4,1st Term,3,Christian Religious Knowledge,"God calls us for a purpose (Gen 13:1-3, Luke 5:1-11, Gen 12:1-20) - Meaning of purpose of God's call. - Right response to God's call. Story of the call of Abraham - Importance of God purpose in our life",8-9
Year 4,1st Term,4,Christian Religious Knowledge,Benefits of obedience to God's call - Meaning of obedience - How to be obedient - Importance of obedience,8-9
Year 4,1st Term,5,Christian Religious Knowledge,God gives his law to us - Meaning of law - Reasons for the law and the ten commandments - Purpose of the law (Exodus 20:1-11),8-9
Year 4,1st Term,6,Christian Religious Knowledge,The ten commandments ( Exodus 20:3-17) (a) Meaning of commandments (b) Reasons to obey the commandments (c) Importance of commandments,8-9
Year 4,1st Term,7,Christian Religious Knowledge,The story of Joseph (Gen 37:1-39) (a) Who is Joseph (b) How did Joseph live his life,8-9
Year 4,1st Term,8,Christian Religious Knowledge,The Israelites (God's chosen people) ( Genesis 32:28),8-9
Year 4,1st Term,9,Christian Religious Knowledge,Jesus the son of God (a) Definition of son of God (b) Jesus was born by power of the Holy spirit (c) Evidence of Jesus as the son of God (d) The event of transfiguration ( Matthew 13:1-13),8-9
Year 5,1st Term,1,Christian Religious Knowledge,God creates and love us (Genesis 1:1-31),9-10
Year 5,1st Term,2,Christian Religious Knowledge,"God supplies our needs : Ways God provides for our needs (God grants our request and provide for our needs) (Exodus 16, Matthew 6:25-35) (a) How God provide for our needs (b) Things that God provided",9-10
Year 5,1st Term,3,Christian Religious Knowledge,"God saves us from danger ( Daniel 3:3-10, Genesis 22:1-19) (a) God delivers people from danger (b) Examples of God's deliverance (c) The crossing of the Red sea (d) God saved Daniel in the lion's den",9-10
Year 5,1st Term,4,Christian Religious Knowledge,"God wants us to work (a) Meaning of work (b) Bible references: Matthew 4:18-22, Proverb 32:13-19 (c) Ways- types of work (2 Thessalonians 3:10) (d) Examples are teachers (e) Why we should work",9-10
Year 5,1st Term,5,Christian Religious Knowledge,"Paul's early life: Paul's name, nationality and religion i.e Saul I. Paul was a Hebrew, a Roman and a Greek II. He was originally a Judas and later a Christian - Paul's early life continues: I. Paul's place of birth (Tarsus)(Acts 22:3) II. Son of a Pharisee( Acts 23:6) - Paul's early life continues: I. Paul studied under Gamaliel ( Acts 22:3) II. Persecuted the church (Acts 8:1-3) - Paul's early life continues: I. Approval of Stephen's death ( Acts 7:54-60, 8:1)",9-10
Year 5,1st Term,6,Christian Religious Knowledge,Paul's conversion: I. Paul's proposed mission to Damascus( Acts 9:3-9) II. What happened to Paul on the way(Acts 9:3-9) - Paul's conversion continues: The healing and commission of Paul by Ananias (Acts 9:10 -19): I. Ananias vision (Acts 9:10-16) II. The healing and commissioning ( Acts 9:17-19),9-10
Year 5,1st Term,7,Christian Religious Knowledge,"Paul's missionary journey - Paul preached to different people ( Acts 13:5; 14:5) Paul's missionary journey continues - Paul preached to different people ( Antioch in Pisidia, Lystra and Derbe) (Acts 14:6-21)",9-10
Year 5,1st Term,8,Christian Religious Knowledge,"The prince of peace is coming ( Luke 1:26-38, Isaiah 2:2-4, Matthew 3:1-12)",9-10
Year 5,1st Term,9,Christian Religious Knowledge,"The prince of peace has come ( Luke 2:1-7, Matthew 2:1-12)",9-10
Year 1,1st Term,1,Cultural and Creative Arts,Introduction to Arts and Culture: Meaning and Branches,5-6
Year 1,1st Term,2,Cultural and Creative Arts,"Shapes and sizes -- Identification of different shapes, drawing basic shapes, sizes of object (big and small) rectangle and circle",5-6
Year 1,1st Term,3,Cultural and Creative Arts,"Drawing and painting shaped object of different sizes e.g. Ruler, chalk etc. (practical)",5-6
Year 1,1st Term,4,Cultural and Creative Arts,"Element of design: lines, recognition of straight lines",5-6
Year 1,1st Term,5,Cultural and Creative Arts,"Art and materials: Identification, uses, drawing of each materials",5-6
Year 1,1st Term,6,Cultural and Creative Arts,"Functional art: meaning and types, colouring functional artwork",5-6
Year 1,1st Term,7,Cultural and Creative Arts,"Introduction to craft making: meaning, types and materials",5-6
Year 1,1st Term,8,Cultural and Creative Arts,"Types of Craft: paper craft, meaning, materials and types, embroidery, crafts in the home, drawing of craft items or materials (beads, local mats, local clay pot, woven clothes), fabric craft",5-6
Year 1,1st Term,9,Cultural and Creative Arts,Practical (Christmas celebration),5-6
Year 2,1st Term,1,Cultural and Creative Arts,"Introduction to nature drawing: definition of nature drawing, meaning of environment and natural things found in our environment",6-7
Year 2,1st Term,2,Cultural and Creative Arts,Nature drawing: Animal drawing and painting,6-7
Year 2,1st Term,3,Cultural and Creative Arts,Nature drawing: flowering plant drawing and painting,6-7
Year 2,1st Term,4,Cultural and Creative Arts,"Element of design -- meaning , types, lines, tracing using templates, stencils",6-7
Year 2,1st Term,5,Cultural and Creative Arts,"Element of design -- primary colors, pattern using colors, splash",6-7
Year 2,1st Term,6,Cultural and Creative Arts,"Pattern: meaning, drawing basic shapes, designing pattern from basic shapes, designs on clothes, bedsheets, curtains etc, drawing basic shapes",6-7
Year 2,1st Term,7,Cultural and Creative Arts,"Motifs: meaning, types, arranging motifs to make simple repeating patterns, drawing different motifs and colouring different motifs",6-7
Year 2,1st Term,8,Cultural and Creative Arts,Leaf print: application of water color on leaves and print on paper,6-7
Year 2,1st Term,9,Cultural and Creative Arts,Practical ( Christmas decorations),6-7
Year 3,1st Term,1,Cultural and Creative Arts,Arts: definition and uses,7-8
Year 3,1st Term,2,Cultural and Creative Arts,"Branches of arts: music, drama, and dance; meaning of music, drama and art",7-8
Year 3,1st Term,3,Cultural and Creative Arts,"Introduction to Nigeria artworks: theatre, sources of musical sounds, difference between music and noise",7-8
Year 3,1st Term,4,Cultural and Creative Arts,"Musical instruments: meaning, classes and examples",7-8
Year 3,1st Term,5,Cultural and Creative Arts,"Greeting practices, time and greeting and occasions in Nigeria",7-8
Year 3,1st Term,6,Cultural and Creative Arts,Different ceremonies and dances for tribes in Nigeria,7-8
Year 3,1st Term,7,Cultural and Creative Arts,"Elements of design: shapes, lines and colors ( meaning, types and uses)",7-8
Year 3,1st Term,8,Cultural and Creative Arts,"Pattern: designing pattern from simple basic shapes, making simple repeated patterns, using patterns to make Christmas cards, exhibitions",7-8
Year 3,1st Term,9,Cultural and Creative Arts,"Principles of design; meaning, types and uses",7-8
Year 4,1st Term,1,Cultural and Creative Arts,"Arts: meaning, origin, branches and importance",8-9
Year 4,1st Term,2,Cultural and Creative Arts,Classification of art and Nigerian artworks and drawing of artwork,8-9
Year 4,1st Term,3,Cultural and Creative Arts,"Songs that promotes national values, songs that promote values like patriotism in Nigeria e.g National Anthem, NYSC Anthem e.t.c ( Art of composing poetic lines/texts to be put in music )",8-9
Year 4,1st Term,4,Cultural and Creative Arts,"Drawing: meaning, types (Nature, still-life, life)",8-9
Year 4,1st Term,5,Cultural and Creative Arts,Drawing and painting,8-9
Year 4,1st Term,6,Cultural and Creative Arts,"Introduction to pattern and card making: meaning, types of cards and materials",8-9
Year 4,1st Term,7,Cultural and Creative Arts,Introduction to weaving: meaning and types,8-9
Year 4,1st Term,8,Cultural and Creative Arts,"Colors: meaning, types, sources and uses",8-9
Year 4,1st Term,9,Cultural and Creative Arts,"Introduction to music: meaning, types of music, importance of music",8-9
Year 5,1st Term,1,Cultural and Creative Arts,"Light and shade: meaning, how light reflects on object to show light and shadow",9-10
Year 5,1st Term,2,Cultural and Creative Arts,"Imaginative drawing: meaning, materials, draw from your memory, e.g festivals, village scenes",9-10
Year 5,1st Term,3,Cultural and Creative Arts,"Imaginative composition: meaning, definition of choir, voice parts of choir",9-10
Year 5,1st Term,4,Cultural and Creative Arts,Drawing and painting: Benin bronze work,9-10
Year 5,1st Term,5,Cultural and Creative Arts,"Pattern, design and motif: meaning, types (plain, twill and mat weaving) and uses",9-10
Year 5,1st Term,6,Cultural and Creative Arts,"Weaving: meaning, types, materials and importance",9-10
Year 5,1st Term,7,Cultural and Creative Arts,Introduction values in cultural and creative arts,9-10
Year 5,1st Term,8,Cultural and Creative Arts,"Perspectives: meaning, types and importance",9-10
Year 5,1st Term,9,Cultural and Creative Arts,Practical ( Christmas decorations),9-10
Year 1,1st Term,1,Social Studies,"Social studies- meaning, the study of man and how his problem are solved in the environment",5-6
Year 1,1st Term,2,Social Studies,"Understanding the physical environment -- meaning , components and types",5-6
Year 1,1st Term,3,Social Studies,"Culture -- meaning , types, element, difference and importance",5-6
Year 1,1st Term,4,Social Studies,"Food: meaning, types and sources",5-6
Year 1,1st Term,5,Social Studies,"Food safety: meaning, importance and guides to food safety",5-6
Year 1,1st Term,6,Social Studies,"Religion -- meaning , types, how culture is related to religion",5-6
Year 1,1st Term,7,Social Studies,"Family -- meaning , types, duties of the family members and qualities of a good family",5-6
Year 1,1st Term,8,Social Studies,"Moral values -- meaning , types, good and bad moral values",5-6
Year 1,1st Term,9,Social Studies,Greeting & respecting elders in our culture,5-6
Year 2,1st Term,1,Social Studies,"Scope of social studies: meaning of scope of social studies; the areas social studies focuses to solve man's problem, areas which social studies focused are: critical thinking, reflective thinking and problem solving",6-7
Year 2,1st Term,2,Social Studies,"Religious practices -- difference in religious practices and beliefs, objects used for worship",6-7
Year 2,1st Term,3,Social Studies,"Drugs: meaning, types and importance",6-7
Year 2,1st Term,4,Social Studies,Family -- family tree and family relationships,6-7
Year 2,1st Term,5,Social Studies,Concept of family as a social unit -- understanding the concept of social unit,6-7
Year 2,1st Term,6,Social Studies,"Food poisoning -- definition , causes, effects and prevention",6-7
Year 2,1st Term,7,Social Studies,"Physical environment: people live in desert, fertile places, lakesides, riversides, mountain, low laying area, climate varies area",6-7
Year 2,1st Term,8,Social Studies,"Growth and development -- meaning , stages of growth",6-7
Year 2,1st Term,9,Social Studies,"Communication -- meaning , types, medium and importance",6-7
Year 3,1st Term,1,Social Studies,"Physical environment: People live in desert, fertile places, lakes, rivers or ocean, mountain, low areas, climate varies",7-8
Year 3,1st Term,2,Social Studies,"Customs and beliefs -- meaning , cultural practices, differences in customs and beliefs among cultures in Nigeria, beliefs and traditions; difference an similarities, values that can be promoted",7-8
Year 3,1st Term,3,Social Studies,"Marriage: meaning, types and importance",7-8
Year 3,1st Term,4,Social Studies,"Marriage practices in Nigeria: roles of culture in marriage practices, concepts of dowry, and reasons for differences in marriage practices",7-8
Year 3,1st Term,5,Social Studies,"Culture: meaning, elements, ways of preserving culture and why different people have different customs (difference in history, geographical positions and external influences",7-8
Year 3,1st Term,6,Social Studies,"Natural resources -- meaning, examples and resources development",7-8
Year 3,1st Term,7,Social Studies,"Production -- meaning, types, factors and importance",7-8
Year 3,1st Term,8,Social Studies,Division of labour,7-8
Year 3,1st Term,9,Social Studies,Traditional festivals and ceremonies,7-8
Year 4,1st Term,1,Social Studies,Man and his social environment -- meaning of social environment and effects of humans activities on the social environment,8-9
Year 4,1st Term,2,Social Studies,"Ecosystem -- meaning, types, who is an ecologist? Differences between environment and ecosystem",8-9
Year 4,1st Term,3,Social Studies,"Unity in cultural diversity -- meaning of cultural diversity and unity, unity in cultural diversity and benefits of cultural diversity, ways of promoting cultural diversity",8-9
Year 4,1st Term,4,Social Studies,"Responsible parenthood -- meaning of parenthood, responsibilities of parents towards their children and benefits of responsible parenthood",8-9
Year 4,1st Term,5,Social Studies,"Problems of parenthood -- challenges parents face, factors that contribute to poor parenting, characteristics and effects of irresponsible parenthood",8-9
Year 4,1st Term,6,Social Studies,"Religious intolerance -- meaning of tolerance, intolerance, religious intolerance, danger of religious intolerance, how to prevent or reduce religious intolerance",8-9
Year 4,1st Term,7,Social Studies,"Social amenities -- meaning , examples, importance and maintenance",8-9
Year 4,1st Term,8,Social Studies,"Attitude to different forms of accident: meaning, types (air, road, water, rail, fire, hot water etc). The first aid treatment, positive attitude to accident victims",8-9
Year 4,1st Term,9,Social Studies,"Resources distribution -- meaning of resources distribution, fair distribution of resources, concept of raw materials",8-9
Year 5,1st Term,1,Social Studies,"Fundamental of social studies -- meaning of social studies, influence of man on his environment, influence of the environment both physically and socially on man, how man interacts with his environment",9-10
Year 5,1st Term,2,Social Studies,"Influence -- meaning , types, sources and effects of bad influence",9-10
Year 5,1st Term,3,Social Studies,"Understanding human relationships -- meaning , concepts of living together and advantages of living together",9-10
Year 5,1st Term,4,Social Studies,"Marriage customs and practices -- steps in selecting marriages partners, relevant values, roles of family and friends",9-10
Year 5,1st Term,5,Social Studies,"Inter marriage -- meaning , types of inter marriage, advantages and disadvantages of inter -ethnic marriages, problems of inter religious marriage, problems of inter- racial marriage",9-10
Year 5,1st Term,6,Social Studies,"Transportation -- meaning , types, medium and importance",9-10
Year 5,1st Term,7,Social Studies,"Leadership -- who is a leader? Meaning of leadership, qualities of a good leader, need for leadership",9-10
Year 5,1st Term,8,Social Studies,"Employment and unemployment -- meaning , types of employment, causes of unemployment and ways of reducing unemployment",9-10
Year 5,1st Term,9,Social Studies,"Social injustice -- meaning , causes and effects",9-10
Year 1,1st Term,1,Agricultural Science,"Introduction to agriculture -- meaning , types and importance",5-6
Year 1,1st Term,2,Agricultural Science,Simple farm tools -- meaning and examples,5-6
Year 1,1st Term,3,Agricultural Science,Simple farm tools -- uses and maintenance,5-6
Year 1,1st Term,4,Agricultural Science,Crops -- meaning and classes,5-6
Year 1,1st Term,5,Agricultural Science,"Vegetable crop -- meaning , examples and uses",5-6
Year 1,1st Term,6,Agricultural Science,"Grain crops -- meaning , examples and uses",5-6
Year 1,1st Term,7,Agricultural Science,"Tuber crops -- meaning , examples and uses",5-6
Year 1,1st Term,8,Agricultural Science,"Ornamental crops -- meaning , examples and uses",5-6
Year 1,1st Term,9,Agricultural Science,"Forestry -- meaning of forest and forestry, forest resources, importance of forest",5-6
Year 2,1st Term,1,Agricultural Science,Branches of agriculture,6-7
Year 2,1st Term,2,Agricultural Science,"Animal husbandry: meaning, classes and by- products",6-7
Year 2,1st Term,3,Agricultural Science,"Crop production -- meaning , types and importance",6-7
Year 2,1st Term,4,Agricultural Science,"Weed- meaning, examples, effects and control",6-7
Year 2,1st Term,5,Agricultural Science,"Pests: meaning, examples, effects and control",6-7
Year 2,1st Term,6,Agricultural Science,"Fertilization; manure and compost: meaning, differences and importance",6-7
Year 2,1st Term,7,Agricultural Science,Horticulture: meaning and advantages,6-7
Year 2,1st Term,8,Agricultural Science,"Soil : meaning, types and importance",6-7
Year 2,1st Term,9,Agricultural Science,Farm animals diseases,6-7
Year 3,1st Term,1,Agricultural Science,"Agriculture -- meaning , types, careers and importance",7-8
Year 3,1st Term,2,Agricultural Science,"Agronomy -- meaning , types and importance",7-8
Year 3,1st Term,3,Agricultural Science,"Livestock farming -- meaning , types and importance",7-8
Year 3,1st Term,4,Agricultural Science,"Fishery -- meaning , types and importance, fishing tools and equipment",7-8
Year 3,1st Term,5,Agricultural Science,"Agro -- industry : meaning, branches and importance",7-8
Year 3,1st Term,6,Agricultural Science,"Distribution of crops -- meaning , types and importance",7-8
Year 3,1st Term,7,Agricultural Science,"Distribution of animals -- meaning , types and importance",7-8
Year 3,1st Term,8,Agricultural Science,Raising of seedlings in the nursery,7-8
Year 3,1st Term,9,Agricultural Science,Materials needed for growing crops,7-8
Year 4,1st Term,1,Agricultural Science,"Classification of crops -- cereals , legumes, beverages, tuber crops, fiber crops, ornamental, oil, root, vegetable",8-9
Year 4,1st Term,2,Agricultural Science,"Crop propagation -- meaning, types and importance",8-9
Year 4,1st Term,3,Agricultural Science,Planting activities : pre-planting operation,8-9
Year 4,1st Term,4,Agricultural Science,Planting activities: planting operation,8-9
Year 4,1st Term,5,Agricultural Science,Planting activities: post--planting operation,8-9
Year 4,1st Term,6,Agricultural Science,"Farm record: meaning, types and importance",8-9
Year 4,1st Term,7,Agricultural Science,"Farm product (food crops, cash crops and animal products), uses of farm products",8-9
Year 4,1st Term,8,Agricultural Science,"Silviculture : meaning, types and importance",8-9
Year 4,1st Term,9,Agricultural Science,"Bee farming: meaning, steps involved and importance",8-9
Year 5,1st Term,1,Agricultural Science,Origin of farming,9-10
Year 5,1st Term,2,Agricultural Science,Relevance of agriculture to national development,9-10
Year 5,1st Term,3,Agricultural Science,"Agricultural mechanization: meaning, types of machines and importance",9-10
Year 5,1st Term,4,Agricultural Science,"Farm produce: meaning, processes, preservations and reasons for preservations",9-10
Year 5,1st Term,5,Agricultural Science,"Crop diseases: meaning, examples and effects",9-10
Year 5,1st Term,6,Agricultural Science,"Animal diseases: meaning, examples and effects",9-10
Year 5,1st Term,7,Agricultural Science,"Soil formation: meaning, agents and processes",9-10
Year 5,1st Term,8,Agricultural Science,Classification of farm animals ( ruminant and non-ruminant animals),9-10
Year 5,1st Term,9,Agricultural Science,"Agricultural resources ( renewable natural resources): meaning, types and importance",9-10
Year 1,1st Term,1,Yoruba,"Mo mi nmo o IKINNI: igba ninu aro, osan, irole ati ale",5-6
Year 1,1st Term,2,Yoruba,"ASA: (I) ikinni ati idahun ojo (II) ikinni ni oniruru ise, bi apeere, agbe, awoka abbl",5-6
Year 1,1st Term,3,Yoruba,"ALIFABEETI: kika alifabetti : A-Y ALIFABEETI: siseda alifabetti Yoruba ati kiko won. Bi apeere; A- aja, B- bata, D- doje E-eye abbl",5-6
Year 1,1st Term,4,Yoruba,ONKA YORUBA: kika onka Yoruba lati ikinni -- ikewa (1) Kini- onka (2) Lilo - onka (3) Kika -onka (4) Sise idamo figo onka,5-6
Year 1,1st Term,5,Yoruba,"MIMO EYA ARA ENI : kika awon eya ara wa - Kiko Orin nipa eya ara wa bi apeere, oju, eti, imu abbl",5-6
Year 1,1st Term,6,Yoruba,"IMOTOTO ARA ENI: (1) Itoju ara eni, ohun elo fun itoju ara eni (2) Ewu ti I was ninu aitoju ara eni",5-6
Year 1,1st Term,7,Yoruba,"ORIN IDARAYA: bi apeere Awa soja kekere, ja itana ton -- tan, eye meta tolongo waye abbl",5-6
Year 1,1st Term,8,Yoruba,ISORONGBESI: (1) Ibeere lati odo akeko si oluko (2) Ibeere larin akeko si ara won,5-6
Year 1,1st Term,9,Yoruba,IWA RERE: kinni anpe ni iwa rere II. Bawo ni asele do omoluabi mo,5-6
Year 2,1st Term,1,Yoruba,Itesiwaju lori kika alifabeeti Yoruba - Kiko alifabeeti Yoruba si ara patako ikowe - Sise afihan alifabeeti ti o je faweli - Kiko konsonanti si oju patako,6-7
Year 2,1st Term,2,Yoruba,Itesiwaju lori kika alifabeeti Yoruba - Iyato alifabeeti ede oyinbo ati ede yoruba ABC ni a n pe ni alifabeeti ede oyinbo nigba ti ABD je alifabeeti ti ede yoruba abbl - Onka yoruba : Ookanlelogun de ogbon (21-30),6-7
Year 2,1st Term,3,Yoruba,"Imototo ayika - Itoju Ile ati ayika : riro ojo egbe Ile ati ayika Ile - Ewu to wa ninu aitoju ayika wa - Yiya aworan ohun ti o wa ni ayika kilassi ati ayika Ile iwe, ayika igba lejo, iyara idana, iyara ibusun - Orin ati ewi to jemo imototo bi apeere imototo lo le segun arun gbogbo abbl",6-7
Year 2,1st Term,4,Yoruba,"Itesiwaju lori di daruko nkan - Ile- television, redio abbl - Ile eko- efun, aga abbl - Opopona oja- moto, eniyan abbl - Oja- isu, ata",6-7
Year 2,1st Term,5,Yoruba,"Iro ede ( Ami ohun) - Kinni ami ohun - Orisi ami ohun Ohun aarin ( akii fihan) Ohun oke Ohun isale Itesiwaju lori iro ede ( Ami ohun) - Faweli ati orisirisi ami ohun kookan lori faweli. Bi apeere à, a, á, e, ē, é abbl - Ami ohun lori oro onisilebu kan bi apeere bà, ba abbl - Ami ohun lori oro onisilebu, bi apeere okó, okó, òkò abbl",6-7
Year 2,1st Term,6,Yoruba,"Kika silebu - Alaye ohun ti silebu je ( Ege , oro) - Gige awon oro onisilebu bi apeere Bàbá- bá/bá, Bàtá -- bà/ta abbl",6-7
Year 2,1st Term,7,Yoruba,"Ere osupa - Itan siso bi apeere boju boju abbl - Orin eremode - Eko ti a ri ko Ni imo -- kikun nipa ayika won Mo Orin ko, mo oro Orin ati kika won",6-7
Year 2,1st Term,8,Yoruba,Iwe kika - Kika iwe asayan - Ayoka ti imo re ko ju ti ojo -- ori akekoo lo - Ewi : ise loogun ise,6-7
Year 2,1st Term,9,Yoruba,Aayan ogbufo - Kinni aayan ogbufo - Titumo awon oro bi apeere Come -- wa House -- Ile Dog -- aja Food -- ounje Stick -- igi,6-7
Year 3,1st Term,1,Yoruba,Itan awon akoni Ile yoruba laye atijo ati ode oni - Oruka awon akoni agbegbe akokoo ni aye atijo ati ni ode oni - Akitiyan awon akoni to ati daruko,7-8
Year 3,1st Term,2,Yoruba,Onka Ookanlelogbon de ogoji (31-40 - Onka Yoruba Ookanlelogbon de ogoji - Aropo/ ayokuro awon onka kan lati fun wa ni onka miran - Titoka si awon oro to se pataki fun onka ( le ati din),7-8
Year 3,1st Term,3,Yoruba,"Ere: onitan keekeeke - Kika iwe ere- onise - Sise ere-onise - Ijiroro lori eko ti ari ko ati eda Inu itan - Iwe kika, alawiye iwe keta",7-8
Year 3,1st Term,4,Yoruba,"Orin omode siwaju si - Awon Orin ati eko ti won nko was bi: ""kin n o fole se laye to mo wa"", "" imototo lo le segun arun gbogbo "", ""we ki o mo, ge eekana re , jeun to dara --"" Owe siwaju si - Owe ati pataki re - Titumo owe ati lilo lori bi "" agboju le Ogun fi ara re fosi ta"", owo omode ko to pepe, ta gbalagba ko wo keregbe"", ""agba kii wa Loja Kori omo tuntun wo""",7-8
Year 3,1st Term,5,Yoruba,"Apeko awon oro ledee yoruba - Kiko Ori Yoruba keekeeke bi -- aga, tabili abbl - Iro ohun : d, r, m - Silebu yoruba",7-8
Year 3,1st Term,6,Yoruba,"Aso wiwo - Kinni aso wiwo - Apeere awon aso ti okunrin ati apeere awon aso obinrin - Gbolohun keekeeke nipa aso wiwo bi, mode fila, mo wo sokoto abbl",7-8
Year 3,1st Term,7,Yoruba,"Oro gbolohun - Oro oruko, apeere, itumo, ati idamo oro oruko - Oro aropo oruko - Oro ise, Oro apejuwe, oro atokun, oro asopo",7-8
Year 3,1st Term,8,Yoruba,Ounje Ile yoruba - Itesiwaju awon ire okó ati ounje ti anfi won se,7-8
Year 3,1st Term,9,Yoruba,Asa ibagbepo,7-8
Year 4,1st Term,1,Yoruba,Isomoloruko: (1) Awon ohun elo isomoloruko (2) Isomoloruko ni Ile yoruba,8-9
Year 4,1st Term,2,Yoruba,Onka: ogorun-un de igba ( 100-200),8-9
Year 4,1st Term,3,Yoruba,Aroso - Ero komputa eta sise nibi ? - Kinni ero komputa - Kin ni iwulo ero komputa,8-9
Year 4,1st Term,4,Yoruba,Leta Kiko - Oriki leta kiko - Orisirisi leta,8-9
Year 4,1st Term,5,Yoruba,"Ilu , Orin ati ijo ibile Yoruba (apa kin-in-ni) ati ilu, Orin ati ijo ibile Yoruba (apa keji)",8-9
Year 4,1st Term,6,Yoruba,"Aforo I: Pataki, eko fun omode ati Aforo II: kini n o fele se",8-9
Year 4,1st Term,7,Yoruba,Oriki orile: areas aagberi ati oni koyi,8-9
Year 4,1st Term,8,Yoruba,Oruko abiso ati oruka amutorunwa,8-9
Year 4,1st Term,9,Yoruba,Mimo aago- wakati abi iseju atise sise lori aago -- aago melo,8-9
Year 5,1st Term,1,Yoruba,"Faweli, ibi ti afi mi ohun si",9-10
Year 5,1st Term,2,Yoruba,Ami ohun (orisii ami ti o wa) ati fifi ami si ori awon oro,9-10
Year 5,1st Term,3,Yoruba,"Ere onise : Oogun idanwo ( Ayo -- tita, Arin -- tita, okoto - tita)",9-10
Year 5,1st Term,4,Yoruba,"Itesiwaju lori akanlo -- ede, owe ati ewa ede Yoruba",9-10
Year 5,1st Term,5,Yoruba,Ero -- ibara eni soro - Ero ibara eni soro ; alagbeka G.S.M,9-10
Year 5,1st Term,6,Yoruba,Itan oloro geere ati onka,9-10
Year 5,1st Term,7,Yoruba,"Aroko "" Emi"" Ikini: onise owo",9-10
Year 5,1st Term,8,Yoruba,Girama: Oro aropo oruko - Eje orile -- ede Naijiria,9-10
Year 5,1st Term,9,Yoruba,Eko nipa iwa omoluabi: igbeyin awon olosa 1 - Eko nipa iwa omoluabi: igbeyin awon olosa 2,9-10
Year 1,1st Term,1,Citizenship,"Civic education: meaning, importance and roles in national development",5-6
Year 1,1st Term,2,Citizenship,Citizenship Education: meaning of citizen and citizenship and ways one can be a citizen,5-6
Year 1,1st Term,3,Citizenship,Civic duties: duties and responsibilities of citizens,5-6
Year 1,1st Term,4,Citizenship,Fundamental rights of citizens,5-6
Year 1,1st Term,5,Citizenship,"Law: meaning, types and importance",5-6
Year 1,1st Term,6,Citizenship,"Tax: meaning, types and importance",5-6
Year 1,1st Term,7,Citizenship,Family ( responsibilities and duties of members of the family),5-6
Year 1,1st Term,8,Citizenship,Dealing with strangers: who is a stranger? How to deal with strangers,5-6
Year 1,1st Term,9,Citizenship,"Community: meaning, types, rules and cooperation in the community",5-6
Year 2,1st Term,1,Citizenship,"Civic education: meaning, components and importance",6-7
Year 2,1st Term,2,Citizenship,"Dimensions of civic education: meaning, exploring the different dimensions",6-7
Year 2,1st Term,3,Citizenship,"Cultural dimension of civic education: meaning of culture, characteristics of culture, tribes in Nigeria",6-7
Year 2,1st Term,4,Citizenship,"Political and legal dimensions of civic education: levels of government, arms of government",6-7
Year 2,1st Term,5,Citizenship,"Nationality: meaning, countries and their nationality",6-7
Year 2,1st Term,6,Citizenship,"Patriotism: meaning, who is a patriot? Reasons for patriotism",6-7
Year 2,1st Term,7,Citizenship,Fundamental human rights,6-7
Year 2,1st Term,8,Citizenship,"Democratic practice : meaning of democracy, current political parties in Nigeria, role of political parties",6-7
Year 2,1st Term,9,Citizenship,Rules and regulations in the school,6-7
Year 3,1st Term,1,Citizenship,"Governance: meaning, characteristics of good governance and importance",7-8
Year 3,1st Term,2,Citizenship,"Government: meaning, arms of government ( components and their functions)",7-8
Year 3,1st Term,3,Citizenship,Government: levels of government ( components and their functions,7-8
Year 3,1st Term,4,Citizenship,"Government: forms of government -- democracy, monarchy, oligarchy, bureaucracy, theocracy, aristocracy etc",7-8
Year 3,1st Term,5,Citizenship,Democracy and democratic countries: meaning and examples,7-8
Year 3,1st Term,6,Citizenship,"National values: meaning of values, meaning of national values, examples of national values, the need to imbibe values in the society",7-8
Year 3,1st Term,7,Citizenship,"Constituted authority: meaning, types and respect for constituted authority",7-8
Year 3,1st Term,8,Citizenship,"Communities in Nigeria: meaning, types and roles of community members",7-8
